StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q26,Q22,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q25
2022-04-06 16:03:13,2022-04-06 16:03:58,IP Address,67.160.57.88,100,45,True,2022-04-06 16:03:59,R_2PiBUJy1OhlbPRs,,,,,47.1691000000000002501110429875552654266357421875,-122.5065000000000026147972675971686840057373046875,anonymous,EN,,,,,,,,,,5cf845e485e94e001789fd44,Male,1-5 years,20-59,Undergraduate,$50-$100k,White,68,
2022-04-06 16:01:52,2022-04-06 16:04:02,IP Address,173.89.0.165,100,130,True,2022-04-06 16:04:03,R_sHWgJAbUDtOEXLP,,,,,43.01400000000000289901436190120875835418701171875,-88.27830000000000154614099301397800445556640625,anonymous,EN,601c170bd8db9368fc2d996b,Female,10+ years,20-59,Undergraduate,$50-$100k,White,39,,,,,,,,,,
2022-04-06 16:02:58,2022-04-06 16:04:03,IP Address,98.43.156.81,100,64,True,2022-04-06 16:04:03,R_3PT3At04cgYcl3o,,,,,39.62530000000000285353962681256234645843505859375,-104.7862999999999971123543218709528446197509765625,anonymous,EN,5baba0b2c1155b0001174383,Female,1-5 years,20-59,Undergraduate,$25-$50k,Other,80,,,,,,,,,,
2022-04-06 16:02:43,2022-04-06 16:04:04,IP Address,172.58.35.101,100,80,True,2022-04-06 16:04:04,R_RLdbe2xQl1E4SK5,,,,,37.33129999999999881765688769519329071044921875,-121.8401000000000067302607931196689605712890625,anonymous,EN,612bdc4ca7c8ad3cbb8ce5d6,Female,1-5 years,20-59,Associate,$50-$100k,White,10,,,,,,,,,,
2022-04-06 16:02:30,2022-04-06 16:04:28,IP Address,75.131.251.167,100,117,True,2022-04-06 16:04:28,R_3HiFaW8ycNl4sEb,,,,,30.494099999999999539568307227455079555511474609375,-90.4750999999999976353137753903865814208984375,anonymous,EN,,,,,,,,,,5d0c3381da7493001ab3a903,Male,5-10 years,20-59,Undergraduate,$50-$100k,White,20,
2022-04-06 16:03:17,2022-04-06 16:04:44,IP Address,98.40.233.148,100,87,True,2022-04-06 16:04:44,R_3GoVZNI9VcTsmfe,,,,,29.7376000000000004774847184307873249053955078125,-95.5210000000000007958078640513122081756591796875,anonymous,EN,,,,,,,,,,6100a57ec974542bc5e0be93,Female,0-1 year,20-59,High School,$25-$50k,Hispanic,60,
2022-04-06 16:00:38,2022-04-06 16:04:59,IP Address,74.103.185.139,100,261,True,2022-04-06 16:04:59,R_1BQm66CoOVhBTDW,,,,,40.1435000000000030695446184836328029632568359375,-75.3778999999999967940311762504279613494873046875,anonymous,EN,60e34d7311fc0e87ca0854dd,Female,1-5 years,20-59,Undergraduate,$100-$150k,White,74,,,,,,,,,,
2022-04-06 16:02:53,2022-04-06 16:05:29,IP Address,73.4.51.195,100,156,True,2022-04-06 16:05:29,R_25JnTEvK24mfY6R,,,,,42.35130000000000194404492503963410854339599609375,-71.13700000000000045474735088646411895751953125,anonymous,EN,,,,,,,,,,60aca39c9694a34b09acaef7,Female,1-5 years,20-59,Undergraduate,$25-$50k,Asian,70,
2022-04-06 16:05:58,2022-04-06 16:06:52,IP Address,69.137.127.217,100,53,True,2022-04-06 16:06:53,R_2ScyoxGXCWdr5Rd,,,,,37.6875,-85.8747000000000042518877307884395122528076171875,anonymous,EN,,,,,,,,,,60f8adb9a315f316c3aee425,Female,1-5 years,20-59,Undergraduate,$50-$100k,Other,40,
2022-04-06 16:05:43,2022-04-06 16:07:20,IP Address,162.40.215.168,100,96,True,2022-04-06 16:07:20,R_2pQuQMiWjVtoKT6,,,,,29.80969999999999942019712761975824832916259765625,-82.467500000000001136868377216160297393798828125,anonymous,EN,616c9115b3a3d2f885822a57,Male,1-5 years,20-59,Undergraduate,$25-$50k,White,66,,,,,,,,,,
2022-04-06 16:06:19,2022-04-06 16:07:56,IP Address,165.91.13.21,100,97,True,2022-04-06 16:07:57,R_2RWVNxQHZMvR9QB,,,,,30.6032000000000010686562745831906795501708984375,-96.3135999999999938836481305770576000213623046875,anonymous,EN,,,,,,,,,,61086cc7586535963db62409,Male,0-1 year,< 20,High School,$25-$50k,Hispanic,0,
2022-04-06 16:06:51,2022-04-06 16:08:04,IP Address,73.45.31.227,100,72,True,2022-04-06 16:08:04,R_PUkqMMf1krsClqN,,,,,41.11370000000000146656020660884678363800048828125,-87.8693999999999988403942552395164966583251953125,anonymous,EN,60bd00c4910b05ae6c440636,Female,0-1 year,20-59,Undergraduate,$50-$100k,Black,69,,,,,,,,,,
2022-04-06 16:06:12,2022-04-06 16:08:04,IP Address,174.84.137.224,100,112,True,2022-04-06 16:08:04,R_2ztKqeFd6S1BB1w,,,,,46.41510000000000246700437855906784534454345703125,-84.2853999999999956571627990342676639556884765625,anonymous,EN,59757b95395bf80001bf9daa,Female,1-5 years,20-59,Postgraduate,$50-$100k,White,61,,,,,,,,,,
2022-04-06 16:06:20,2022-04-06 16:08:10,IP Address,174.210.65.150,100,110,True,2022-04-06 16:08:10,R_325xI32FRY1lydn,,,,,35.24260000000000303543856716714799404144287109375,-80.7409999999999996589394868351519107818603515625,anonymous,EN,,,,,,,,,,600473adcef0ed5bbd905567,Male,10+ years,20-59,Undergraduate,$100-$150k,White,50,
2022-04-06 16:07:10,2022-04-06 16:08:11,IP Address,104.50.95.235,100,61,True,2022-04-06 16:08:12,R_3DwiSrltz5BNRdr,,,,,33.71739999999999781721271574497222900390625,-85.8404000000000024783730623312294483184814453125,anonymous,EN,60e9e610487ce0780b4dbe9c,Male,1-5 years,20-59,Postgraduate,$50-$100k,Asian,80,,,,,,,,,,
2022-04-06 16:06:39,2022-04-06 16:08:13,IP Address,172.58.171.70,100,94,True,2022-04-06 16:08:14,R_W7GQLwp8rISGvQt,,,,,28.58149999999999835154085303656756877899169921875,-81.4849999999999994315658113919198513031005859375,anonymous,EN,5d810f6e58a1e20001287382,Female,10+ years,20-59,High School,$25-$50k,White,10,,,,,,,,,,
2022-04-06 16:06:56,2022-04-06 16:08:15,IP Address,50.86.53.167,100,78,True,2022-04-06 16:08:15,R_ABP1iwWNgBQDd5L,,,,,32.46990000000000264890331891365349292755126953125,-90.1102000000000060708771343342959880828857421875,anonymous,EN,,,,,,,,,,5dcef809332b34042dcb2189,Female,1-5 years,20-59,Undergraduate,$100-$150k,White,58,
2022-04-06 16:07:32,2022-04-06 16:08:23,IP Address,65.79.1.35,100,50,True,2022-04-06 16:08:23,R_2tEfBC2fsFiejT1,,,,,42.04690000000000082991391536779701709747314453125,-88.105099999999993087840266525745391845703125,anonymous,EN,,,,,,,,,,6170fd96a9bd6d37fecdff21,Male,1-5 years,< 20,Associate,<$25k,Asian,62,
2022-04-06 16:07:25,2022-04-06 16:10:00,IP Address,63.153.3.108,100,154,True,2022-04-06 16:10:00,R_r7sYcbpeHdmhilH,,,,,45.67139999999999844249032321386039257049560546875,-111.043599999999997862687450833618640899658203125,anonymous,EN,623537f22ffeb94d58da7a10,Female,5-10 years,20-59,High School,$50-$100k,White,15,,,,,,,,,,
2022-04-06 16:09:23,2022-04-06 16:10:02,IP Address,128.239.215.189,100,39,True,2022-04-06 16:10:02,R_Q9Wb83oYkaQK0Rr,,,,,37.30789999999999650981408194638788700103759765625,-76.744200000000006411937647499144077301025390625,anonymous,EN,,,,,,,,,,601aed7c7b8b5d40e1b7c97b,Female,0-1 year,20-59,Undergraduate,$25-$50k,White,3,
2022-04-06 16:09:15,2022-04-06 16:10:13,IP Address,158.222.141.84,100,57,True,2022-04-06 16:10:13,R_2wuG0V2N1jXPRon,,,,,40.81230000000000046611603465862572193145751953125,-73.968199999999995952748577110469341278076171875,anonymous,EN,5eef7517c8692d20c3279493,Male,1-5 years,20-59,Postgraduate,$50-$100k,White,10,,,,,,,,,,
2022-04-06 16:09:07,2022-04-06 16:10:22,IP Address,162.230.103.205,100,75,True,2022-04-06 16:10:23,R_2cbYqaqexDlXvuE,,,,,37.21170000000000044337866711430251598358154296875,-93.299000000000006593836587853729724884033203125,anonymous,EN,5f988a053b4bf5186a5d6693,Male,1-5 years,20-59,Undergraduate,$50-$100k,White,82,,,,,,,,,,
2022-04-06 16:09:50,2022-04-06 16:10:23,IP Address,76.116.224.2,100,32,True,2022-04-06 16:10:23,R_UnWsS1PxDRSQBvb,,,,,39.915199999999998681232682429254055023193359375,-75.0738999999999947476680972613394260406494140625,anonymous,EN,5dedb806838b4f46c8d183a5,Male,10+ years,20-59,Postgraduate,$150k+,White,91,,,,,,,,,,
2022-04-06 16:09:45,2022-04-06 16:10:25,IP Address,72.185.158.23,100,39,True,2022-04-06 16:10:25,R_1H5KRWbX0uTOO6S,,,,,28.213699999999999334931999328546226024627685546875,-82.6808999999999940655470709316432476043701171875,anonymous,EN,59f5c7f405d1d60001f14399,Non-binary,0-1 year,20-59,Undergraduate,$25-$50k,White,66,,,,,,,,,,
2022-04-06 16:09:10,2022-04-06 16:10:41,IP Address,73.55.149.145,100,90,True,2022-04-06 16:10:41,R_2vldl19nHCy5k1k,,,,,29.751999999999998891553332214243710041046142578125,-95.3430000000000035242919693700969219207763671875,anonymous,EN,,,,,,,,,,5f053720c017078437e04818,Male,10+ years,20-59,Undergraduate,$150k+,Asian,30,
2022-04-06 16:05:36,2022-04-06 16:11:16,IP Address,174.247.240.193,100,340,True,2022-04-06 16:11:16,R_5nntudPGe1b069H,,,,,34.74479999999999790816218592226505279541015625,-92.2883000000000066620486904866993427276611328125,anonymous,EN,60fb26e75427cb8125f2e4a4,Female,1-5 years,20-59,Associate,$50-$100k,White,65,,,,,,,,,,
2022-04-06 16:10:43,2022-04-06 16:11:25,IP Address,104.15.4.100,100,41,True,2022-04-06 16:11:25,R_3CZaoJGEUTiUgKK,,,,,29.947500000000001563194018672220408916473388671875,-81.526399999999995316102285869419574737548828125,anonymous,EN,,,,,,,,,,5e8a79496a7800724c1df04b,Male,0-1 year,< 20,Undergraduate,$50-$100k,Hispanic,45,
2022-04-06 16:09:21,2022-04-06 16:11:27,IP Address,68.109.105.71,100,126,True,2022-04-06 16:11:27,R_3MLLfSzeSh71O5P,,,,,30.486299999999999954525264911353588104248046875,-87.1829000000000036152414395473897457122802734375,anonymous,EN,571164253d47e80009635a80,Female,10+ years,60+,High School,$25-$50k,White,70,,,,,,,,,,
2022-04-06 16:11:11,2022-04-06 16:11:38,IP Address,104.136.228.163,100,27,True,2022-04-06 16:11:39,R_ai98BtqxBA1HZPX,,,,,28.195100000000000051159076974727213382720947265625,-81.60620000000000118234311230480670928955078125,anonymous,EN,616459e2cc6d2952ff3441db,Female,0-1 year,20-59,Undergraduate,$50-$100k,Asian,20,,,,,,,,,,
2022-04-06 16:07:50,2022-04-06 16:11:42,IP Address,172.58.176.199,100,231,True,2022-04-06 16:11:42,R_2VQ2bnfJlEQQPcn,,,,,32.77669999999999816964191268198192119598388671875,-96.80500000000000682121026329696178436279296875,anonymous,EN,,,,,,,,,,61bb370140db417c1a138984,Female,1-5 years,20-59,Postgraduate,$100-$150k,White,30,
2022-04-06 16:10:50,2022-04-06 16:11:47,IP Address,96.66.64.126,100,56,True,2022-04-06 16:11:47,R_YRll2601s17s1vb,,,,,40.0499999999999971578290569595992565155029296875,-105.2169999999999987494447850622236728668212890625,anonymous,EN,5aed49c2aa05510001ff8131,Male,5-10 years,20-59,Undergraduate,$25-$50k,White,41,,,,,,,,,,
2022-04-06 16:10:31,2022-04-06 16:12:19,IP Address,174.80.149.241,100,107,True,2022-04-06 16:12:19,R_1OTurqbwpCa36eq,,,,,34.01140000000000185309545486234128475189208984375,-85.2471000000000032059688237495720386505126953125,anonymous,EN,,,,,,,,,,61f2abfea09e72f23cbaf51b,Male,1-5 years,20-59,Postgraduate,$50-$100k,White,30,
2022-04-06 16:11:25,2022-04-06 16:12:26,IP Address,68.181.16.66,100,60,True,2022-04-06 16:12:26,R_12oqOvmHkFb01W3,,,,,34.0322000000000031150193535722792148590087890625,-118.283600000000006957634468562901020050048828125,anonymous,EN,,,,,,,,,,6110afe5ca0fbaba210ee3d8,Female,0-1 year,< 20,Undergraduate,$150k+,White,32,
2022-04-06 16:10:52,2022-04-06 16:12:48,IP Address,107.115.147.47,100,115,True,2022-04-06 16:12:48,R_1kF7jjLihWUEtw1,,,,,32.91029999999999944293449516408145427703857421875,-96.7283000000000043883119360543787479400634765625,anonymous,EN,,,,,,,,,,615f47f5414cbdd6deaf52a0,Male,5-10 years,20-59,Undergraduate,$100-$150k,Asian,41,
2022-04-06 16:12:16,2022-04-06 16:12:59,IP Address,67.83.158.146,100,42,True,2022-04-06 16:12:59,R_1ghy5twyBRNWOTw,,,,,41.14620000000000032969182939268648624420166015625,-73.99660000000000081854523159563541412353515625,anonymous,EN,,,,,,,,,,6012e262527c380ccb2a6c74,Male,1-5 years,20-59,Undergraduate,<$25k,White,30,
2022-04-06 16:11:39,2022-04-06 16:13:09,IP Address,107.13.145.140,100,89,True,2022-04-06 16:13:09,R_2YqPufYdWcZAbHi,,,,,35.98060000000000258069121628068387508392333984375,-78.84260000000000445652403868734836578369140625,anonymous,EN,5c0c5e04d56d2200015addcd,Female,5-10 years,20-59,Undergraduate,$150k+,White,60,,,,,,,,,,
2022-04-06 16:12:30,2022-04-06 16:13:26,IP Address,209.206.90.236,100,55,True,2022-04-06 16:13:26,R_VHWsiSfZ5rcNF17,,,,,38.8125,-107.7467999999999932470018393360078334808349609375,anonymous,EN,5c439d43e499db00018d459b,Female,1-5 years,20-59,High School,$50-$100k,White,30,,,,,,,,,,
2022-04-06 16:11:36,2022-04-06 16:13:29,IP Address,68.44.127.37,100,112,True,2022-04-06 16:13:29,R_1DCEnp5WxygzZno,,,,,40.13329999999999841975295566953718662261962890625,-85.6538000000000039335645851679146289825439453125,anonymous,EN,,,,,,,,,,614f06edccc4770d34b482b0,Male,1-5 years,20-59,High School,$25-$50k,Asian,60,
2022-04-06 16:13:38,2022-04-06 16:14:13,IP Address,71.227.233.200,100,34,True,2022-04-06 16:14:13,R_30c1L3o7o2XI4JF,,,,,47.67219999999999657802618457935750484466552734375,-122.12569999999999481588019989430904388427734375,anonymous,EN,60fcc9e799bac1b75f745ae1,Female,1-5 years,20-59,Undergraduate,$150k+,Asian,20,,,,,,,,,,
2022-04-06 16:13:27,2022-04-06 16:14:28,IP Address,168.178.73.100,100,60,True,2022-04-06 16:14:28,R_0lkdjWIhJfUwFTH,,,,,40.37299999999999755573298898525536060333251953125,-111.737200000000001409716787748038768768310546875,anonymous,EN,,,,,,,,,,60f389f08d3f4ded7084d288,Male,1-5 years,20-59,High School,$50-$100k,White,81,
2022-04-06 16:13:23,2022-04-06 16:14:35,IP Address,71.227.121.66,100,72,True,2022-04-06 16:14:35,R_3KoouJK9Sqms6kZ,,,,,42.23140000000000071622707764618098735809326171875,-83.634399999999999408828443847596645355224609375,anonymous,EN,,,,,,,,,,5ddecf14d3ac2affdc8df54c,Female,10+ years,20-59,Undergraduate,$100-$150k,White,94,
2022-04-06 16:13:50,2022-04-06 16:14:40,IP Address,192.80.102.69,100,49,True,2022-04-06 16:14:40,R_3qwIQnzI7k2WDVo,,,,,39.76970000000000027284841053187847137451171875,-89.6885999999999938836481305770576000213623046875,anonymous,EN,,,,,,,,,,5d6466d84e9aae0001598a5a,Female,0-1 year,20-59,High School,$50-$100k,White,70,
2022-04-06 16:12:17,2022-04-06 16:15:04,IP Address,108.48.147.97,100,166,True,2022-04-06 16:15:05,R_3EzfBZu0RWByqTg,,,,,38.86699999999999732835931354202330112457275390625,-76.8173000000000030240698833949863910675048828125,anonymous,EN,,,,,,,,,,5ee6d6e22472a0463a271bd8,Female,10+ years,60+,Undergraduate,$25-$50k,Black,81,
2022-04-06 16:14:13,2022-04-06 16:15:10,IP Address,174.198.66.12,100,57,True,2022-04-06 16:15:10,R_bkCu9srcTNBGWoF,,,,,41.2580999999999988858689903281629085540771484375,-95.9325000000000045474735088646411895751953125,anonymous,EN,5adf3828dee8590001b05860,Male,1-5 years,20-59,Undergraduate,$25-$50k,White,100,,,,,,,,,,
2022-04-06 16:13:13,2022-04-06 16:15:48,IP Address,73.11.242.191,100,155,True,2022-04-06 16:15:49,R_3HNWOXvSx84swGg,,,,,47.0240000000000009094947017729282379150390625,-122.782700000000005502442945726215839385986328125,anonymous,EN,60ae2fc5749d240eaf7db711,Female,5-10 years,60+,Undergraduate,$25-$50k,White,81,,,,,,,,,,
2022-04-06 16:15:04,2022-04-06 16:16:02,IP Address,129.171.6.192,100,57,True,2022-04-06 16:16:02,R_1QfORpGqjuV22fO,,,,,25.72070000000000078443918027915060520172119140625,-80.2776000000000067302607931196689605712890625,anonymous,EN,,,,,,,,,,610803886ebd66060788ddc8,Female,1-5 years,20-59,Undergraduate,$150k+,Hispanic,56,
2022-04-06 16:15:00,2022-04-06 16:16:07,IP Address,68.9.82.163,100,67,True,2022-04-06 16:16:07,R_ZC2p2izIVCveJZ7,,,,,41.60470000000000112549969344399869441986083984375,-72.8812999999999959754859446547925472259521484375,anonymous,EN,57509b61d6edf00006ff7fcb,Female,1-5 years,20-59,High School,$150k+,White,40,,,,,,,,,,
2022-04-06 16:15:14,2022-04-06 16:16:26,IP Address,107.77.230.142,100,72,True,2022-04-06 16:16:26,R_3rIF4mwjgAtS5ZV,,,,,34.0544000000000011141310096718370914459228515625,-118.243999999999999772626324556767940521240234375,anonymous,EN,5fc5c6e3dfa8ca1557012d44,Male,5-10 years,20-59,Postgraduate,$150k+,White,20,,,,,,,,,,
2022-04-06 16:13:15,2022-04-06 16:16:35,IP Address,67.166.121.221,100,199,True,2022-04-06 16:16:35,R_1ocC6Pn1Gb9YjlC,,,,,40.77420000000000044337866711430251598358154296875,-111.8721000000000032059688237495720386505126953125,anonymous,EN,,,,,,,,,,5faff3a31137f42fcf5fd438,Female,1-5 years,20-59,Associate,$50-$100k,White,20,
2022-04-06 16:14:14,2022-04-06 16:16:46,IP Address,98.35.193.183,100,152,True,2022-04-06 16:16:46,R_saNGgCp32vHAY7L,,,,,37.75580000000000069348971010185778141021728515625,-121.95269999999999299689079634845256805419921875,anonymous,EN,,,,,,,,,,61004e962509f21ce295df3d,Female,1-5 years,20-59,Undergraduate,$150k+,Asian,40,
2022-04-06 16:16:00,2022-04-06 16:16:58,IP Address,172.0.49.80,100,58,True,2022-04-06 16:16:58,R_TgTty6Cuuwtvm7v,,,,,33.3962999999999965439201332628726959228515625,-84.5688999999999992951416061259806156158447265625,anonymous,EN,594425f07ccfd00001d3f462,Male,0-1 year,20-59,Undergraduate,<$25k,Black,40,,,,,,,,,,
2022-04-06 16:13:21,2022-04-06 16:16:59,IP Address,75.185.108.85,100,217,True,2022-04-06 16:16:59,R_Wiogp80Ftlo9VhD,,,,,38.140500000000002955857780762016773223876953125,-85.69360000000000354702933691442012786865234375,anonymous,EN,612cf777563f5c8b66e7caef,Female,0-1 year,20-59,High School,$25-$50k,White,20,,,,,,,,,,
2022-04-06 16:15:42,2022-04-06 16:16:59,IP Address,71.212.211.159,100,77,True,2022-04-06 16:17:00,R_3rMRrLK7jQtEcRM,,,,,47.12910000000000110276232589967548847198486328125,-122.40940000000000509317032992839813232421875,anonymous,EN,,,,,,,,,,60fcc1f097711a4c8b8b2d7c,Female,0-1 year,20-59,Postgraduate,$50-$100k,White,20,
2022-04-06 16:16:33,2022-04-06 16:17:08,IP Address,134.215.168.38,100,34,True,2022-04-06 16:17:08,R_bC8jmengmcQ4qgp,,,,,30.796800000000001062971932697109878063201904296875,-81.7051000000000016143530956469476222991943359375,anonymous,EN,58c38ef58158840001b5c230,Male,1-5 years,20-59,Undergraduate,$25-$50k,White,10,,,,,,,,,,
2022-04-06 16:16:28,2022-04-06 16:17:21,IP Address,172.58.63.145,100,53,True,2022-04-06 16:17:21,R_3JkKcKNwsdx0JYI,,,,,39.738799999999997680788510479032993316650390625,-104.9868000000000023419488570652902126312255859375,anonymous,EN,61fa94565719bc09cb834f00,Female,1-5 years,20-59,Undergraduate,$150k+,Black,86,,,,,,,,,,
2022-04-06 16:17:23,2022-04-06 16:18:04,IP Address,47.50.189.242,100,40,True,2022-04-06 16:18:04,R_11iLXt6e7xLm2Uu,,,,,38.45389999999999730562194599770009517669677734375,-90.328000000000002955857780762016773223876953125,anonymous,EN,60a1e1f4a3707c983a98f185,Female,0-1 year,20-59,Associate,$25-$50k,White,27,,,,,,,,,,
2022-04-06 16:17:39,2022-04-06 16:18:14,IP Address,12.190.253.170,100,34,True,2022-04-06 16:18:14,R_1n2D4EK5oXtAjBW,,,,,35.51440000000000196678229258395731449127197265625,-97.5865000000000009094947017729282379150390625,anonymous,EN,,,,,,,,,,611826a2829806f27afd5864,Female,1-5 years,20-59,Undergraduate,$50-$100k,White,11,
2022-04-06 16:17:01,2022-04-06 16:18:27,IP Address,69.127.117.72,100,85,True,2022-04-06 16:18:27,R_1FS8pOxysBCr3YH,,,,,40.87100000000000221689333557151257991790771484375,-73.0510000000000019326762412674725055694580078125,anonymous,EN,,,,,,,,,,5f5550685e8dec926f63cef1,Male,1-5 years,20-59,Associate,$100-$150k,White,75,
2022-04-06 16:17:38,2022-04-06 16:18:39,IP Address,76.205.7.193,100,60,True,2022-04-06 16:18:39,R_4NpmHetTBtaAjPX,,,,,38.56819999999999737383404863066971302032470703125,-89.89650000000000318323145620524883270263671875,anonymous,EN,,,,,,,,,,60fe076cdaf85311b32cb6a0,Female,10+ years,60+,High School,$150k+,White,68,
2022-04-06 16:17:40,2022-04-06 16:18:39,IP Address,65.34.129.128,100,59,True,2022-04-06 16:18:39,R_1pn8rwYTgt4SKcH,,,,,25.5972000000000008412825991399586200714111328125,-80.404799999999994497557054273784160614013671875,anonymous,EN,,,,,,,,,,60ff4ae657afa082f414e718,Female,1-5 years,20-59,Associate,$25-$50k,Hispanic,42,
2022-04-06 16:17:58,2022-04-06 16:18:43,IP Address,172.56.22.157,100,45,True,2022-04-06 16:18:43,R_3gOedVnOy8QMM3u,,,,,41.76520000000000010231815394945442676544189453125,-72.702799999999996316546457819640636444091796875,anonymous,EN,614ef4f3b9e5a2f0388fc374,Male,1-5 years,20-59,High School,<$25k,White,30,,,,,,,,,,
2022-04-06 16:16:11,2022-04-06 16:18:44,IP Address,67.165.31.231,100,152,True,2022-04-06 16:18:44,R_3iOJsz26xbDLdr8,,,,,40.35560000000000258069121628068387508392333984375,-74.98390000000000554791768081486225128173828125,anonymous,EN,,,,,,,,,,6025b6e60ac9cb1ae2b1875a,Male,10+ years,20-59,High School,$150k+,White,5,
2022-04-06 16:13:41,2022-04-06 16:18:51,IP Address,72.212.68.71,100,309,True,2022-04-06 16:18:51,R_27DUWqiojZP6t7D,,,,,33.54899999999999948840923025272786617279052734375,-111.9566999999999978854248183779418468475341796875,anonymous,EN,5c0b388b9c7b1100015ab55f,Female,10+ years,20-59,Undergraduate,$150k+,White,13,,,,,,,,,,
2022-04-06 16:17:51,2022-04-06 16:18:52,IP Address,68.173.78.57,100,60,True,2022-04-06 16:18:52,R_3MtgulE6ulqUJxb,,,,,40.78099999999999880628820392303168773651123046875,-73.9501000000000061618266045115888118743896484375,anonymous,EN,5e79352ea4d7d30d65532c51,Female,5-10 years,20-59,Postgraduate,$150k+,White,87,,,,,,,,,,
2022-04-06 16:18:06,2022-04-06 16:19:03,IP Address,99.37.194.74,100,57,True,2022-04-06 16:19:04,R_2RQgFuCaC4ofibg,,,,,42.55380000000000251247911364771425724029541015625,-82.918499999999994543031789362430572509765625,anonymous,EN,5ee5777de62eb32c84555b3b,Male,1-5 years,20-59,High School,$25-$50k,White,60,,,,,,,,,,
2022-04-06 16:16:58,2022-04-06 16:19:07,IP Address,47.14.234.24,100,128,True,2022-04-06 16:19:07,R_W1cJWURrt9k34zL,,,,,42.20450000000000301270119962282478809356689453125,-71.8337999999999965439201332628726959228515625,anonymous,EN,,,,,,,,,,60dd1d33a4fb8f9886611221,Female,1-5 years,20-59,Undergraduate,$150k+,White,40,
2022-04-06 16:18:53,2022-04-06 16:19:35,IP Address,172.56.38.188,100,41,True,2022-04-06 16:19:35,R_1QuzY354m6jeLCd,,,,,37.99849999999999994315658113919198513031005859375,-121.887799999999998590283212251961231231689453125,anonymous,EN,,,,,,,,,,5ce6dc576ad4e5001e0978c8,Female,10+ years,20-59,High School,$25-$50k,White,90,
2022-04-06 16:19:08,2022-04-06 16:19:47,IP Address,35.141.221.44,100,38,True,2022-04-06 16:19:47,R_3O6cukHTpGtMaLY,,,,,28.195100000000000051159076974727213382720947265625,-81.60620000000000118234311230480670928955078125,anonymous,EN,,,,,,,,,,5e48122927eb23000af799c7,Female,10+ years,20-59,Undergraduate,$50-$100k,White,11,
2022-04-06 16:19:09,2022-04-06 16:20:20,IP Address,71.197.25.190,100,70,True,2022-04-06 16:20:20,R_d5VvWb9yFsj46zv,,,,,42.6734000000000008867573342286050319671630859375,-82.7736000000000018417267710901796817779541015625,anonymous,EN,5f11f98efbaf2b0ef855ec6b,Female,1-5 years,20-59,Postgraduate,$50-$100k,White,76,,,,,,,,,,
2022-04-06 16:19:34,2022-04-06 16:20:40,IP Address,24.7.242.121,100,66,True,2022-04-06 16:20:41,R_4PCvzIfFuBjEBvr,,,,,44.9534000000000020236257114447653293609619140625,-93.3842000000000069803718361072242259979248046875,anonymous,EN,5e7acbd0373d5e0c087a112c,Male,1-5 years,20-59,Undergraduate,$100-$150k,White,20,,,,,,,,,,
2022-04-06 16:19:15,2022-04-06 16:20:42,IP Address,192.199.225.8,100,86,True,2022-04-06 16:20:42,R_UGhNe1JoIkhzhAd,,,,,35.71090000000000230784280574880540370941162109375,-109.53600000000000136424205265939235687255859375,anonymous,EN,,,,,,,,,,56c4d3b98bacd7000ccf91d7,Female,10+ years,60+,Undergraduate,$50-$100k,White,78,
2022-04-06 16:20:38,2022-04-06 16:21:21,IP Address,69.130.140.142,100,43,True,2022-04-06 16:21:22,R_3qWIj6LA0zgpA25,,,,,35.5972000000000008412825991399586200714111328125,-87.8532000000000010686562745831906795501708984375,anonymous,EN,6104b7e8cd97497d5ceed7d5,Female,0-1 year,20-59,Associate,$25-$50k,White,30,,,,,,,,,,
2022-04-06 16:20:46,2022-04-06 16:21:26,IP Address,66.42.8.45,100,39,True,2022-04-06 16:21:26,R_1cY5rCwK3o0VUuE,,,,,28.433800000000001517719283583573997020721435546875,-81.3472000000000008412825991399586200714111328125,anonymous,EN,604227d56f34b50536d0df92,Female,5-10 years,20-59,Postgraduate,$100-$150k,Black,55,,,,,,,,,,
2022-04-06 16:12:00,2022-04-06 16:21:33,IP Address,184.59.184.90,100,573,True,2022-04-06 16:21:33,R_2qgFdVLFqHwHfF3,,,,,40.824399999999997135091689415276050567626953125,-81.339799999999996771293808706104755401611328125,anonymous,EN,5758a78d768081000631a322,Female,0-1 year,20-59,High School,<$25k,White,46,,,,,,,,,,
2022-04-06 16:19:42,2022-04-06 16:21:55,IP Address,98.115.173.221,100,133,True,2022-04-06 16:21:55,R_C8FH9ju35E79wWd,,,,,40.26729999999999876081346883438527584075927734375,-74.948700000000002319211489520967006683349609375,anonymous,EN,,,,,,,,,,5d924ef6e49896001431b25b,Male,0-1 year,60+,Postgraduate,$50-$100k,White,30,
2022-04-06 16:21:19,2022-04-06 16:22:17,IP Address,75.132.58.254,100,58,True,2022-04-06 16:22:17,R_3g8cJdxRHwfpqYB,,,,,37.77590000000000003410605131648480892181396484375,-90.4070999999999997953636921010911464691162109375,anonymous,EN,5a402cbd1950a80001e7b7f5,Male,0-1 year,20-59,Associate,$50-$100k,White,42,,,,,,,,,,
